,0
394,724
395,1189
396,1191
397,1196
398,1197
399,332
400,1203
401,1204
402,1205
403,1211
404,237
405,1213
406,1216
407,944
408,1214
409,1215
410,1218
411,1219
412,1220
413,1230
414,1059
415,1242
416,516
417,1249
418,1258
419,1261
420,1274
421,1281
422,1288
423,498
424,1290
425,1293
426,994
427,1312
428,405
429,1311
430,1317
431,1318
432,1323
433,1324
434,1325
435,1330
436,1015
437,1339
438,1340
439,1287
440,278
441,1344
442,224
443,649
444,1346
445,1347
446,1348
447,1354
448,1355
449,1356
450,1357
451,1358
452,1370
453,486
454,1372
455,1373
456,427
457,1375
458,1057
459,965
460,1413
461,1417
462,1418
463,1420
464,1421
465,1426
466,1427
467,666
468,1430
469,1433
470,1434
471,1447
472,505
473,1450
474,1453
475,1456
476,1454
477,1455
478,697
479,1469
480,75
481,1471
482,1476
483,1477
484,1480
485,1483
486,1492
487,1494
488,1499
489,1506
490,1507
491,1512
492,1513
493,1528
494,1533
495,1534
496,1536
497,1537
498,1535
499,1538
500,1539
501,1540
502,1554
503,1555
504,1570
505,1527
506,1188
507,469
508,1579
509,1581
510,1580
511,1584
512,1589
513,1590
514,9
515,1595
516,1603
517,1605
518,1608
519,251
520,1607
521,1611
522,1612
523,1621
524,1630
525,1632
526,1631
527,1637
528,368
529,552
530,1648
531,1645
532,1647
533,1649
534,1650
535,103
536,1671
537,762
538,1674
539,1680
540,1685
541,1687
542,1689
543,1692
544,1705
545,1706
546,1128
547,1712
548,150
549,1720
550,1725
551,1726
552,1733
553,1734
554,1263
555,1751
556,1749
557,1223
558,1753
559,1764
560,1771
561,1772
562,1773
563,1787
564,600
565,1801
566,1809
567,1812
568,1001
569,1820
570,1823
571,307
572,1827
573,1828
574,1840
575,1839
576,1859
577,1860
578,1864
579,898
580,1873
581,1874
582,553
583,1878
584,1885
585,1889
586,1886
587,1891
588,1892
589,1619
590,1898
591,1905
592,1583
593,1058
594,1908
595,1909
596,1912
597,1045
598,904
599,1930
600,1931
601,468
602,371
603,1936
604,1940
605,1941
606,1946
607,1948
608,1949
609,1951
610,1962
611,834
612,1966
613,1968
614,1967
615,1508
616,255
617,1978
618,1979
619,1980
620,816
621,65
622,1987
623,1688
624,1993
625,2003
626,1349
627,2007
628,1737
629,2017
630,1493
631,2019
632,2020
633,963
634,2021
635,610
636,1600
637,1269
638,969
639,615
640,803
641,972
642,2046
643,2049
644,2056
645,1080
646,1280
647,2088
648,2087
649,1791
650,805
651,1959
652,634
653,2106
654,1425
655,2122
656,2123
657,2124
658,2126
659,2127
660,2128
661,709
662,2132
663,2133
664,2134
665,1761
666,2146
667,2148
668,349
669,2154
670,2155
671,2160
672,2161
673,2158
674,272
675,821
676,1520
677,2073
678,2188
679,2192
680,2193
681,1922
682,2199
683,2209
684,2214
685,2224
686,765
687,2226
688,2230
689,2231
690,2232
691,2233
692,2236
693,2237
694,2241
695,1003
696,2252
697,2251
698,2256
699,1585
700,2263
701,2264
702,1076
703,2267
704,2113
705,2269
706,2271
707,517
708,2278
709,2281
710,2282
711,2283
712,2284
713,2296
714,1485
715,1786
716,1775
717,2297
718,2303
719,2306
720,2309
721,1523
722,2314
723,2324
724,1093
725,2030
726,2313
727,2198
728,1556
729,832
730,2327
731,2328
732,2329
733,2336
734,2335
735,894
736,2337
737,2346
738,2347
739,473
740,2352
741,2358
742,2362
743,2369
744,1239
745,2371
746,2372
747,2373
748,2375
749,2379
750,2382
751,2383
752,2390
753,2393
754,1241
755,642
756,2394
757,2404
758,1635
759,2411
760,2412
761,2413
762,1088
763,2426
764,2424
765,2428
766,658
767,567
768,2432
769,1544
770,1797
771,2444
772,2445
773,2446
774,2447
775,2472
776,2486
777,2487
778,2493
779,2494
780,1460
781,2500
782,1743
783,2508
784,2513
785,2515
786,2545
787,2552
788,2553
789,768
790,2554
791,259
792,2557
793,2564
794,2568
795,2582
796,2585
797,2589
798,2590
799,2591
800,2594
801,2604
802,2618
803,2620
804,2629
805,2211
806,2642
807,2647
808,1970
809,443
810,1805
811,396
812,2507
813,2669
814,2672
815,2671
816,2688
817,2687
818,2692
819,1884
820,2698
821,2699
822,883
823,2723
824,952
825,2724
826,2734
827,2593
828,1120
829,2745
830,2755
831,2766
832,2767
833,27
834,2773
835,2449
836,2777
837,928
838,2792
839,2794
840,1314
841,2795
842,2797
843,2801
844,1094
845,2810
846,2811
847,2814
848,2815
849,2817
850,2820
851,2821
852,2822
853,2824
854,2823
855,2834
856,2835
857,2837
858,2838
859,2840
860,2865
861,2869
862,2872
863,2884
864,2885
865,2894
866,1920
867,2896
868,1442
869,2913
870,2914
871,1276
872,2517
873,2917
874,2918
875,2937
876,2940
877,2941
878,2951
879,1784
880,2963
881,1234
882,2964
883,2968
884,2110
885,2970
886,2969
887,2985
888,2627
889,87
890,2581
891,2992
892,2995
893,2208
894,882
895,148
896,3029
897,3037
898,3042
899,3050
900,3051
901,3052
902,11
903,3075
904,2433
905,1
906,3104
907,3105
908,3119
909,2758
910,2752
911,1741
912,3130
913,3132
914,3139
915,3141
916,94
917,3145
918,3146
919,3147
920,1498
921,3165
922,3170
923,3190
924,3198
925,1727
926,2272
927,1365
928,1253
929,2789
930,3225
931,3234
932,2660
933,195
934,3238
935,3239
936,1254
937,3251
938,3278
939,3280
940,3279
941,3281
942,3285
943,3284
944,1676
945,3290
946,1613
947,1381
948,46
949,3303
950,3311
951,3313
952,1996
953,2182
954,2700
955,3319
956,3320
957,3323
958,3338
959,3374
960,3384
961,3385
962,599
963,3389
964,2541
965,1730
966,3423
967,780
968,745
969,3426
970,3429
971,3434
972,802
973,3445
974,100
975,1863
976,908
977,55
978,3473
979,3475
980,1582
981,3476
982,136
983,2505
984,3489
985,1449
986,986
987,3497
988,3499
989,1518
990,935
991,2897
992,941
993,3532
994,1403
995,3538
996,3551
997,3553
998,3558
999,3560
1000,3561
1001,3566
1002,3567
1003,873
1004,3587
1005,3594
1006,3595
1007,3596
1008,3597
1009,3616
1010,3617
1011,340
1012,571
1013,3633
1014,3640
1015,3641
1016,1496
1017,1122
1018,2702
1019,2093
1020,1200
1021,2561
1022,3678
1023,220
1024,3684
1025,3686
1026,3720
1027,3721
1028,3730
1029,1465
1030,3742
1031,3744
1032,3747
1033,400
1034,3748
1035,820
1036,3750
1037,570
1038,262
1039,3537
1040,1061
1041,3761
1042,3784
1043,3277
1044,3265
1045,3795
1046,3797
1047,3802
1048,3295
1049,3128
1050,335
1051,3568
1052,2333
1053,2026
1054,1279
1055,3845
1056,2274
1057,2311
1058,1636
1059,1519
1060,3874
1061,797
1062,487
1063,1473
1064,3902
1065,3401
1066,3909
1067,3925
1068,740
1069,3205
1070,3933
1071,766
1072,3941
1073,2997
1074,1087
1075,3665
1076,3973
1077,3979
1078,81
1079,3548
1080,3364
1081,7
1082,4003
1083,4015
1084,3369
1085,4039
1086,4044
1087,4043
1088,4054
1089,3441
1090,3828
1091,98
1092,2878
1093,3713
1094,1626
1095,1159
1096,1767
1097,1593
1098,4131
1099,4155
1100,1678
1101,3889
1102,705
1103,1362
1104,306
1105,913
1106,4195
1107,4197
1108,4235
1109,1870
1110,1994
1111,2190
1112,3244
1113,4263
1114,937
1115,4278
1116,4291
1117,4298
1118,4302
1119,1075
1120,4307
1121,2530
1122,4326
1123,4336
1124,2804
1125,943
1126,620
1127,2136
1128,2790
1129,2443
1130,4425
1131,4431
1132,1862
1133,3199
1134,4471
1135,3726
1136,4477
1137,4487
1138,4500
1139,1134
1140,2005
1141,4548
1142,4551
1143,644
1144,3629
1145,1945
1146,4593
1147,4592
1148,4620
1149,384
1150,4645
1151,4680
1152,2462
1153,2249
1154,4700
1155,3022
1156,4703
1157,4723
1158,852
1159,4745
1160,134
1161,4796
1162,3435
1163,4823
1164,1525
1165,4854
1166,4856
1167,4867
1168,4868
1169,1490
1170,4885
1171,3223
1172,4941
1173,4995
1174,4476
1175,625
1176,5011
1177,4206
1178,5053
1179,5054
1180,5088
1181,5096
1182,1252
1183,1078
1184,5160
1185,242
1186,5212
1187,2681
1188,2952
1189,1899
1190,4659
1191,5263
1192,5285
1193,3843
1194,5318
1195,3013
1196,3018
1197,5339
1198,3150
1199,5385
1200,3669
1201,973
1202,5440
1203,5445
1204,2502
1205,5448
1206,5459
1207,5481
1208,2720
1209,1388
1210,1921
1211,2998
1212,5524
1213,5529
1214,5550
1215,2467
1216,5587
1217,5592
1218,5593
1219,5628
1220,5629
1221,5635
1222,4185
1223,5658
1224,2953
1225,5750
1226,5757
1227,3255
1228,1178
1229,5817
1230,1694
1231,5839
1232,5306
1233,5913
1234,2135
1235,4174
1236,5979
1237,5980
1238,1599
1239,2818
1240,6011
1241,5457
1242,2882
1243,3710
1244,6041
1245,4676
1246,6047
1247,4771
1248,4757
1249,6070
1250,4932
1251,6092
1252,3301
1253,5326
1254,6114
1255,1192
1256,6157
1257,3604
1258,6196
1259,5468
1260,5605
1261,4412
1262,6247
1263,6266
1264,5403
1265,6283
1266,6310
1267,6330
1268,6343
1269,6195
1270,6363
1271,3412
1272,6368
1273,4770
1274,6377
1275,5412
1276,6396
1277,4041
1278,6419
1279,5378
1280,3182
1281,3598
1282,6447
1283,6484
1284,2130
1285,6521
1286,3556
1287,4763
1288,671
1289,6593
1290,703
1291,691
1292,868
1293,6659
1294,5389
1295,3371
1296,4484
1297,6798
1298,6809
1299,6884
1300,6383
1301,594
1302,5165
1303,1319
1304,1332
1305,6233
1306,7023
1307,2004
1308,6323
1309,1020
1310,2586
1311,7195
1312,7217
1313,2516
1314,2345
1315,7314
1316,5269
1317,4862
1318,3615
1319,5620
1320,1942
1321,2522
1322,1342
1323,3579
1324,5851
1325,7506
1326,1953
1327,4250
1328,7637
1329,7663
1330,7683
1331,7709
1332,3562
1333,7765
1334,339
1335,3825
1336,7810
1337,2221
1338,7930
1339,7987
1340,8052
1341,7033
1342,8104
1343,8178
1344,5239
1345,1586
1346,1564
1347,8602
1348,5501
1349,8743
1350,1729
1351,9021
1352,6542
1353,9191
1354,6013
1355,7339
1356,2503
1357,9027
1358,8670
1359,10052
1360,8021
1361,10103
1362,6475
1363,1894
1364,10271
1365,8761
1366,5911
1367,9263
1368,12241
1369,11651
